Articl1,Article2,Cosine Similarity,generator,prompt,Paragraph Order
2,4,0.7760569,human,exam,last
2,5,0.8260738,human,exam,last
3,1,0.7005812,human,exam,last
3,2,0.79958147,human,exam,last
3,3,0.99999976,human,exam,last
3,4,0.83075213,human,exam,last
3,5,0.7795917,human,exam,last
4,1,0.68359804,human,exam,last
4,2,0.7760569,human,exam,last
4,3,0.83075213,human,exam,last
4,4,0.9999999,human,exam,last
4,5,0.7312489,human,exam,last
5,1,0.7526606,human,exam,last
5,2,0.8260738,human,exam,last
5,3,0.7795917,human,exam,last
5,4,0.7312489,human,exam,last
5,5,1.0,human,exam,last
